Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
104,COUNT_UP,0.007817,1.007848,294.06,0.000000000,0.000000000,0.0000,0.015462,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
105,COUNT_UP,0.009805,1.009854,294.08,0.000000000,0.000000000,0.0000,0.032270,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
106,COUNT_UP,0.008085,1.008118,294.06,0.000000000,0.000000000,0.0000,0.015623,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
107,COUNT_UP,0.007572,1.007601,294.08,0.000000000,0.000000000,0.0000,0.014680,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
108,COUNT_UP,0.011071,1.011133,294.06,0.000000000,0.000000000,0.0000,0.046182,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
109,COUNT_UP,0.007395,1.007422,294.08,0.000000000,0.000000000,0.0000,0.015287,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
110,COUNT_UP,0.007139,1.007165,294.06,0.000000000,0.000000000,0.0000,0.014130,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
111,COUNT_UP,0.016570,1.016708,294.08,0.000000000,0.000000000,0.0000,0.059202,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
112,COUNT_UP,0.006943,1.006967,294.06,0.000000000,0.000000000,0.0000,0.014250,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
113,COUNT_UP,0.006651,1.006673,294.08,0.000000000,0.000000000,0.0000,0.012754,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
114,COUNT_UP,0.006618,1.006640,294.06,0.000000000,0.000000000,0.0000,0.012576,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
115,COUNT_UP,0.007023,1.007047,294.08,0.000000000,0.000000000,0.0000,0.015283,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
